ID,Price,Levy,Brand,Model,Year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Fuel Efficiency
45774419,8467,-,honda,fit,2006,Hatchback,No,Petrol,1.3,200000 km,4.0,Variator,Front,04-May,Right-hand drive,Black,2,31.692307692307693
45809263,11726,446,honda,fit,2014,Hatchback,Yes,Petrol,1.3,91901 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,31.692307692307693
45656768,1803,761,toyota,prius,2010,Hatchback,Yes,Hybrid,1.8,258909 km,4.0,Automatic,Front,04-May,Left wheel,White,12,48.625
45816158,549,751,hyundai,sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,23.79824561403509
45641395,1098,394,toyota,camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,23.541353383458645
45756839,26657,-,lexus,rx 350,2007,Jeep,Yes,Petrol,3.5,128500 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,22.692307692307693
45772281,7683,810,hyundai,elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12,28.050505050505052
45797221,28382,810,hyundai,elantra,2016,Sedan,Yes,Petrol,1.8,54317 km,4.0,Automatic,Front,04-May,Left wheel,White,4,28.050505050505052
45772104,549,2386,hyundai,sonata,2006,Sedan,Yes,Petrol,3.3,295059 km,6.0,Automatic,Rear,04-May,Left wheel,Blue,12,23.79824561403509
45801686,18826,531,hyundai,elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,28.050505050505052
45168471,20698,586,toyota,prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000 km,4.0,Automatic,Front,04-May,Left wheel,White,12,48.625
45751951,17562,1249,toyota,camry,2017,Sedan,Yes,Petrol,2.5,39709 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,23.541353383458645
45759112,549,2455,lexus,gx 470,2008,Jeep,Yes,Petrol,4.7,0 km,8.0,Automatic,4x4,04-May,Left wheel,White,0,15.0
45804684,30,-,toyota,prius,2008,Sedan,No,Hybrid,1.5,169000 km,4.0,Automatic,Front,04-May,Left wheel,White,8,48.625
45801525,14454,583,hyundai,elantra,2011,Sedan,Yes,Petrol,1.6,158787 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,28.050505050505052
45768550,12074,1537,toyota,highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12,23.375
45760983,19444,915,porsche,cayenne,2014,Jeep,Yes,Diesel,3,175056 km,6.0,Automatic,4x4,04-May,Left wheel,White,12,17.580645161290324
